name,star,degree,constellation,starAge
La,Sun,90,Hydra,46000000
Puanakau,Rigel,100,Orion,80000000
Hikialania,Spica,110,Virgo,123000000
A'a,Sirius,120,Canis Major,12300000
Lehuakona,Antares,140,Scorpius,1230000000
Puana,Procyon,80,Canis Minor,1870000000
Kauluakoko,Betelguese,70,Orion,8500000
Humu,Altair,40,Aquila,1230000000
Keoe,Vega,20,Lyra,455000000
Deneb,Pira'etea,15,Cygnus,23100000
