name,star,degree
La,Sun,90
Puanakau,Rigel,100
Hikialania,Spica,110
A'a,Sirius,120
Lehuakona,Antares,140
Puana,Procyon,80
Kauluakoko,Betelguese,70
Humu,Altair,40
Keoe,Vega,20
Deneb,Pira'etea,15
